,title,video_id,video_date,video_view,video_like
52,[던파] 진(眞) 스트리트파이터 플레이,RUnURoEEHsY,2021-11-25T02:09:40Z,26220,104
53,[던파] 진(眞) 스트라이커 플레이,er6ejVMXKow,2021-11-25T01:00:43Z,50288,342
54,[던파] 진(眞) 이단심판관,YaVewpoZqKA,2021-11-25T01:00:41Z,52179,374
55,[던파] 진(眞) 넨마스터 플레이,QL547tnp-UA,2021-11-25T01:00:35Z,61070,336
56,[던파] 성승헌 캐스터와 함께하는 2021 던파 페스티벌!,qu_xxyHuDm8,2021-11-25T01:00:28Z,31437,271
57,내가 개인전 탈락이라고? 분노의 헥토 받아라!! | 대장전 8강 풀리그 DAY-1 TOP 5 | DPL 2021 Winter HIGHLIGHT,WOSYybleXgQ,2021-11-24T09:00:30Z,3159,39
58,DPL 2021 Winter 2화 | 대장전 8강 풀리그 DAY 1,1nKnhbXuylo,2021-11-24T01:00:00Z,4817,37
59,DPL 2021 Winter 1화 | 개인전 32강 A조,VFlHxXysyGs,2021-11-22T06:31:40Z,4370,31
60,승부 예측 맞히셨나요? 디스 이즈 역배!!! | 개인전 32강 A조 1~8경기 TOP 5 | DPL 2021 Winter HIGHLIGHT,SERUwNY37-E,2021-11-20T09:00:12Z,2199,26
61,성캐와 정준해설의 짬에서 나오는 VIBE | DPL 2021 Summer 리그 HIGHLIGHT,enu2ODmDO1A,2021-08-31T10:28:17Z,7665,110
62,[던파OST] It's Time to Rock n Roll,gOPueoK2uQo,2021-08-31T10:00:15Z,17475,271
63,[던파OST] It's Time to Rock n Roll (inst),A_Oh8z1VQdQ,2021-08-31T10:00:03Z,4221,55
64,기승전 ‘핵토엔딩’ | 대장전 결승전 / 개인전 4강 & 결승전 하이라이트 | DPL 2021 Summer HIGHLIGHT,20nzf-9j2Lg,2021-08-24T13:58:21Z,5500,42
65,DPL 2021 Summer - 8화 | 대장전 결승 & 개인전 4강/결승,ckMBKD8H54A,2021-08-24T13:19:11Z,7342,55
66,던파로ON 2021 SUMMER,qu3wprHYPW8,2021-08-23T08:12:53Z,22428,526
67,'패패승승승' 매운 맛 역배의 날| 대장전 4강 1~2경기 / 개인전 8강 1~4경기 하이라이트 | DPL 2021 Summer HIGHLIGHT,fyJT9he-xHw,2021-08-17T16:20:53Z,3201,28
