,weapon,job,weapon_name,weapon_ratio,weapon_count,weapon_percent,new_name
43,"근원을 삼킨 클로
329 (1.918%)",얼티밋 디바,근원을 삼킨 클로,329 (1.918%),329,(1.918%),근원 무기
44,"근원을 삼킨 건틀릿
308 (1.795%)",얼티밋 디바,근원을 삼킨 건틀릿,308 (1.795%),308,(1.795%),근원 무기
45,"결전의 통파 - 그래플러(여)
276 (1.609%)",얼티밋 디바,결전의 통파 - 그래플러(여),276 (1.609%),276,(1.609%),결전 무기
46,"근원을 삼킨 머스켓
1,742 (11.336%)",커맨더,근원을 삼킨 머스켓,"1,742 (11.336%)",1742,(11.336%),근원 무기
47,"결전의 머스켓 - 스핏파이어(남)
690 (4.490%)",커맨더,결전의 머스켓 - 스핏파이어(남),690 (4.490%),690,(4.490%),결전 무기
48,"근원을 삼킨 보우건
302 (1.965%)",커맨더,근원을 삼킨 보우건,302 (1.965%),302,(1.965%),근원 무기
49,"결전의 보우건 - 스핏파이어(남)
249 (1.620%)",커맨더,결전의 보우건 - 스핏파이어(남),249 (1.620%),249,(1.620%),결전 무기
50,"결전의 자동권총 - 메카닉(남)
1,023 (5.948%)",프라임,결전의 자동권총 - 메카닉(남),"1,023 (5.948%)",1023,(5.948%),결전 무기
51,"근원을 삼킨 자동권총
923 (5.367%)",프라임,근원을 삼킨 자동권총,923 (5.367%),923,(5.367%),근원 무기
52,"근원을 삼킨 리볼버
5,646 (15.633%)",레이븐,근원을 삼킨 리볼버,"5,646 (15.633%)",5646,(15.633%),근원 무기
53,"결전의 리볼버 - 레인저(남)
1,433 (3.968%)",레이븐,결전의 리볼버 - 레인저(남),"1,433 (3.968%)",1433,(3.968%),결전 무기
54,"결전의 핸드캐넌 - 런처(남)
2,520 (8.481%)",디스트로이어,결전의 핸드캐넌 - 런처(남),"2,520 (8.481%)",2520,(8.481%),결전 무기
55,"근원을 삼킨 핸드캐넌
1,835 (6.176%)",디스트로이어,근원을 삼킨 핸드캐넌,"1,835 (6.176%)",1835,(6.176%),근원 무기
56,"근원을 삼킨 자동권총
6,499 (21.699%)",엑스마키나,근원을 삼킨 자동권총,"6,499 (21.699%)",6499,(21.699%),근원 무기
57,"결전의 자동권총 - 어썰트
1,648 (5.502%)",엑스마키나,결전의 자동권총 - 어썰트,"1,648 (5.502%)",1648,(5.502%),결전 무기
58,"결전의 자동권총 - 메카닉(여)
1,128 (7.885%)",옵티머스,결전의 자동권총 - 메카닉(여),"1,128 (7.885%)",1128,(7.885%),결전 무기
59,"근원을 삼킨 자동권총
1,042 (7.284%)",옵티머스,근원을 삼킨 자동권총,"1,042 (7.284%)",1042,(7.284%),근원 무기
60,"결전의 리볼버 - 레인저(여)
3,287 (12.497%)",크림슨로제,결전의 리볼버 - 레인저(여),"3,287 (12.497%)",3287,(12.497%),결전 무기
61,"근원을 삼킨 리볼버
1,787 (6.794%)",크림슨로제,근원을 삼킨 리볼버,"1,787 (6.794%)",1787,(6.794%),근원 무기
62,"결전의 핸드캐넌 - 런처(여)
1,740 (9.372%)",스톰트루퍼,결전의 핸드캐넌 - 런처(여),"1,740 (9.372%)",1740,(9.372%),결전 무기
63,"근원을 삼킨 핸드캐넌
1,078 (5.806%)",스톰트루퍼,근원을 삼킨 핸드캐넌,"1,078 (5.806%)",1078,(5.806%),근원 무기
64,"근원을 삼킨 보우건
2,908 (10.582%)",프레이야,근원을 삼킨 보우건,"2,908 (10.582%)",2908,(10.582%),근원 무기
